odiNumber,manufacturer,crash,fire,numberOfInjuries,numberOfDeaths,dateOfIncident,dateComplaintFiled,vin,components,summary,type,productYear,productMake,productModel
11552983,"Chrysler (FCA US, LLC)",False,False,0,0,2023-11-01,2023-11-01,1C4HJXEM2MW,FUEL/PROPULSION SYSTEM,The manufacturer issued recall on 10/2022 and as of 11/2023 part to fix issue is still not available,Vehicle,2021,JEEP,WRANGLER
11552821,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-01,2023-10-31,1C4HJXDG6MW,STEERING,"The contact owns a 2021 Jeep Wrangler. The contact stated that while driving at various highway speeds, the steering wheel and front end of the vehicle would shake and vibrate after driving over a bump in the roadway. The vehicle was taken to the local dealer. No further information was available. The manufacturer was not yet contacted. The failure mileage was 19,000.",Vehicle,2021,JEEP,WRANGLER
11552821,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-01,2023-10-31,1C4HJXDG6MW,SUSPENSION,"The contact owns a 2021 Jeep Wrangler. The contact stated that while driving at various highway speeds, the steering wheel and front end of the vehicle would shake and vibrate after driving over a bump in the roadway. The vehicle was taken to the local dealer. No further information was available. The manufacturer was not yet contacted. The failure mileage was 19,000.",Vehicle,2021,JEEP,WRANGLER
11552650,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-28,2023-10-30,1C4HJXDG8MW,STEERING,"Death wobble occurs almost daily and multiple times a day when going over bump. Seems to happen when going over 40mph. Steering doesn’t stabilize until almost completely stopping. A few times, needed to pull over and stop vehicle to get the wobble to stop.",Vehicle,2021,JEEP,WRANGLER
11552091,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-26,2023-10-26,1C4HJXEM6MW,FUEL SYSTEM,"The contact owns a 2021 Jeep Wrangler. The contact received notification of NHTSA Campaign Number: 22V767000 (Fuel System, Gasoline, Engine) however, the part to do the recall repair was not yet available. The local dealer was contacted. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The manufacturer was made aware of the issue. The contact had not experienced a failure. Parts distribution disconnect.",Vehicle,2021,JEEP,WRANGLER
11552091,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-26,2023-10-26,1C4HJXEM6MW,GASOLINE,"The contact owns a 2021 Jeep Wrangler. The contact received notification of NHTSA Campaign Number: 22V767000 (Fuel System, Gasoline, Engine) however, the part to do the recall repair was not yet available. The local dealer was contacted. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The manufacturer was made aware of the issue. The contact had not experienced a failure. Parts distribution disconnect.",Vehicle,2021,JEEP,WRANGLER
11552091,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-26,2023-10-26,1C4HJXEM6MW,ENGINE,"The contact owns a 2021 Jeep Wrangler. The contact received notification of NHTSA Campaign Number: 22V767000 (Fuel System, Gasoline, Engine) however, the part to do the recall repair was not yet available. The local dealer was contacted. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The manufacturer was made aware of the issue. The contact had not experienced a failure. Parts distribution disconnect.",Vehicle,2021,JEEP,WRANGLER
11551917,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-25,2023-10-25,1C4HJXFG1MW,POWER TRAIN,There has been a recall on my Jeep since February 2023 for the clutch plate and possible fire. The maker of this vechile has yet to be able to find a fix for this issue. My transmission is now making a clunking noise occasionally.,Vehicle,2021,JEEP,WRANGLER
11551584,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-22,2023-10-24,1C4HJXENXMW,STEERING,"At 27,000 miles, bought brand new the “death wobble” started. I plan to take to dealership next week. I have no known if this issue but from research it’s a major issue in wranglers. This is a safety hazard. No one should be driving this vehicle with this issue. I bought brand new so I wouldn’t have to deal with issues such as this. I’ve never taken it off roading. Only highway.",Vehicle,2021,JEEP,WRANGLER
11551584,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-22,2023-10-24,1C4HJXENXMW,SUSPENSION,"At 27,000 miles, bought brand new the “death wobble” started. I plan to take to dealership next week. I have no known if this issue but from research it’s a major issue in wranglers. This is a safety hazard. No one should be driving this vehicle with this issue. I bought brand new so I wouldn’t have to deal with issues such as this. I’ve never taken it off roading. Only highway.",Vehicle,2021,JEEP,WRANGLER
11551584,"Chrysler (FCA US, LLC)",False,False,0,0,2023-10-22,2023-10-24,1C4HJXENXMW,UNKNOWN OR OTHER,"At 27,000 miles, bought brand new the “death wobble” started. I plan to take to dealership next week. I have no known if this issue but from research it’s a major issue in wranglers. This is a safety hazard. No one should be driving this vehicle with this issue. I bought brand new so I wouldn’t have to deal with issues such as this. I’ve never taken it off roading. Only highway.",Vehicle,2021,JEEP,WRANGLER
